espece,nombre_total,coord_x,coord_y,altitude,annee,methode,typologie,structure_1,structure_2,localite,canton,bio1,bio12,bio2,bio5,pca1
Neomys fodiens (Musaraigne aquatique),1,696900,216350,1070,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,20074,79,195,-1.3025942976406
Neomys fodiens (Musaraigne aquatique),1,696900,216350,1070,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,20074,79,195,-1.3025942976406
Sorex araneus (Musaraigne carrelet),1,696900,216350,1070,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,20074,79,195,-1.3025942976406
Microtus agrestis (Campagnol agreste),1,696915,216660,1015,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,19959,79,196,-1.37494316884656
Neomys fodiens (Musaraigne aquatique),1,696915,216660,1015,2014,Pièges à capturer vivant : PVIV,Milieux humides (Hauts marais),Ruisseau (sans végétation),Lisières forestières (conifères),Einsiedeln,SZ,61,19959,79,196,-1.37494316884656
Apodemus alpicola (Mulot alpestre),1,697050,211030,1220,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),Torrent (avec végétation),NA,Alpthal,SZ,53,21407,76,183,-0.870426914204864
Clethrionomys glareolus (Campagnol roussâtre),1,697780,215240,990,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,NA,Einsiedeln,SZ,59,20351,78,193,-1.32344676640985
Clethrionomys glareolus (Campagnol roussâtre),1,697780,215240,990,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,NA,Einsiedeln,SZ,59,20351,78,193,-1.32344676640985
Clethrionomys glareolus (Campagnol roussâtre),1,697780,215240,990,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,NA,Einsiedeln,SZ,59,20351,78,193,-1.32344676640985
Microtus agrestis (Campagnol agreste),1,697780,215240,990,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,NA,Einsiedeln,SZ,59,20351,78,193,-1.32344676640985
Microtus agrestis (Campagnol agreste),1,697780,215240,990,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,NA,Einsiedeln,SZ,59,20351,78,193,-1.32344676640985
Microtus agrestis (Campagnol agreste),1,697780,215240,990,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,NA,Einsiedeln,SZ,59,20351,78,193,-1.32344676640985
Apodemus flavicollis (Mulot à collier),1,697850,215310,1000,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Einsiedeln,SZ,59,20341,79,193,-1.30772198861113
Apodemus alpicola (Mulot alpestre),1,697940,216090,1000,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),NA,Einsiedeln,SZ,61,19882,79,195,-1.37658360083238
Apodemus sylvaticus (Mulot sylvestre),1,697940,216090,1000,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),NA,Einsiedeln,SZ,61,19882,79,195,-1.37658360083238
Apodemus sylvaticus (Mulot sylvestre),1,697940,216090,1000,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),NA,Einsiedeln,SZ,61,19882,79,195,-1.37658360083238
Microtus agrestis (Campagnol agreste),1,697940,216090,1000,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),NA,Einsiedeln,SZ,61,19882,79,195,-1.37658360083238
Microtus agrestis (Campagnol agreste),1,697940,216090,1000,2014,Pièges à capturer vivant : PVIV,Prairies,Ruisseau (sans végétation),NA,Einsiedeln,SZ,61,19882,79,195,-1.37658360083238
Apodemus flavicollis (Mulot à collier),1,698570,223930,864,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Altberg,SZ,70,17206,81,209,-1.77451369627447
Apodemus flavicollis (Mulot à collier),1,698570,223930,864,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Altberg,SZ,70,17206,81,209,-1.77451369627447
Apodemus flavicollis (Mulot à collier),1,698570,223930,864,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Altberg,SZ,70,17206,81,209,-1.77451369627447
Apodemus flavicollis (Mulot à collier),1,698570,223930,864,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Altberg,SZ,70,17206,81,209,-1.77451369627447
Apodemus flavicollis (Mulot à collier),1,698570,223930,864,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Altberg,SZ,70,17206,81,209,-1.77451369627447
Apodemus flavicollis (Mulot à collier),1,698570,223930,864,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Altberg,SZ,70,17206,81,209,-1.77451369627447
Clethrionomys glareolus (Campagnol roussâtre),1,698570,223930,864,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Altberg,SZ,70,17206,81,209,-1.77451369627447
Clethrionomys glareolus (Campagnol roussâtre),1,698570,223930,864,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Altberg,SZ,70,17206,81,209,-1.77451369627447
Microtus agrestis (Campagnol agreste),1,698570,223930,864,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Altberg,SZ,70,17206,81,209,-1.77451369627447
Microtus agrestis (Campagnol agreste),1,698570,223930,864,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Altberg,SZ,70,17206,81,209,-1.77451369627447
Microtus agrestis (Campagnol agreste),1,698570,223930,864,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Altberg,SZ,70,17206,81,209,-1.77451369627447
Microtus agrestis (Campagnol agreste),1,698570,223930,864,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (conifères),NA,Altberg,SZ,70,17206,81,209,-1.77451369627447
Clethrionomys glareolus (Campagnol roussâtre),1,698666,222466,912,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (mixtes),NA,Schnabelsberg,SZ,68,17492,81,205,-1.64639648760038
Microtus agrestis (Campagnol agreste),1,698666,222466,912,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (mixtes),NA,Schnabelsberg,SZ,68,17492,81,205,-1.64639648760038
Microtus agrestis (Campagnol agreste),1,698666,222466,912,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (mixtes),NA,Schnabelsberg,SZ,68,17492,81,205,-1.64639648760038
Microtus agrestis (Campagnol agreste),1,698666,222466,912,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Lisières forestières (mixtes),NA,Schnabelsberg,SZ,68,17492,81,205,-1.64639648760038
Clethrionomys glareolus (Campagnol roussâtre),1,698755,222440,916,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Structures linéaires arborées dans les paysages agricoles,NA,Schnabelsberg,SZ,67,17513,81,205,-1.62293627415823
Clethrionomys glareolus (Campagnol roussâtre),1,698755,222440,916,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Structures linéaires arborées dans les paysages agricoles,NA,Schnabelsberg,SZ,67,17513,81,205,-1.62293627415823
Clethrionomys glareolus (Campagnol roussâtre),1,698755,222440,916,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Structures linéaires arborées dans les paysages agricoles,NA,Schnabelsberg,SZ,67,17513,81,205,-1.62293627415823
Clethrionomys glareolus (Campagnol roussâtre),1,698755,222440,916,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Structures linéaires arborées dans les paysages agricoles,NA,Schnabelsberg,SZ,67,17513,81,205,-1.62293627415823
Clethrionomys glareolus (Campagnol roussâtre),1,698809,223862,868,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Altberg,SZ,70,17277,81,208,-1.75800202841167
Microtus agrestis (Campagnol agreste),1,698809,223862,868,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Altberg,SZ,70,17277,81,208,-1.75800202841167
Microtus agrestis (Campagnol agreste),1,698809,223862,868,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Altberg,SZ,70,17277,81,208,-1.75800202841167
Microtus agrestis (Campagnol agreste),1,698809,223862,868,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Altberg,SZ,70,17277,81,208,-1.75800202841167
Microtus agrestis (Campagnol agreste),1,698809,223862,868,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Altberg,SZ,70,17277,81,208,-1.75800202841167
Microtus agrestis (Campagnol agreste),1,698809,223862,868,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Altberg,SZ,70,17277,81,208,-1.75800202841167
Microtus agrestis (Campagnol agreste),1,698809,223862,868,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Altberg,SZ,70,17277,81,208,-1.75800202841167
Microtus agrestis (Campagnol agreste),1,698809,223862,868,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Altberg,SZ,70,17277,81,208,-1.75800202841167
Microtus agrestis (Campagnol agreste),1,698809,223862,868,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Altberg,SZ,70,17277,81,208,-1.75800202841167
Microtus agrestis (Campagnol agreste),1,698877,208243,1350,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,Ruisseau (sans végétation),Oberiberg,SZ,52,21941,75,181,-0.704878936497469
Microtus agrestis (Campagnol agreste),1,698877,208243,1350,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,Ruisseau (sans végétation),Oberiberg,SZ,52,21941,75,181,-0.704878936497469
Microtus agrestis (Campagnol agreste),1,698877,208243,1350,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,Ruisseau (sans végétation),Oberiberg,SZ,52,21941,75,181,-0.704878936497469
Microtus arvalis (Campagnol des champs),1,698877,208243,1350,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,Ruisseau (sans végétation),Oberiberg,SZ,52,21941,75,181,-0.704878936497469
Microtus arvalis (Campagnol des champs),1,698877,208243,1350,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,Ruisseau (sans végétation),Oberiberg,SZ,52,21941,75,181,-0.704878936497469
Microtus arvalis (Campagnol des champs),1,698877,208243,1350,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,Ruisseau (sans végétation),Oberiberg,SZ,52,21941,75,181,-0.704878936497469
Sorex araneus (Musaraigne carrelet),1,698877,208243,1350,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),NA,Ruisseau (sans végétation),Oberiberg,SZ,52,21941,75,181,-0.704878936497469
Apodemus flavicollis (Mulot à collier),1,698906,223829,872,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),NA,Ruisseau (sans végétation),Altberg,SZ,70,17306,81,208,-1.757397873738
Sorex araneus (Musaraigne carrelet),1,698906,223829,872,2014,Lebendfalle : PVIV,Milieux humides (Bas marais),NA,Ruisseau (sans végétation),Altberg,SZ,70,17306,81,208,-1.757397873738
Microtus agrestis (Campagnol agreste),1,698913,208231,1350,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Oberiberg,SZ,52,21955,75,181,-0.701817463222808
Microtus agrestis (Campagnol agreste),1,698913,208231,1350,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Oberiberg,SZ,52,21955,75,181,-0.701817463222808
Microtus agrestis (Campagnol agreste),1,698913,208231,1350,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Oberiberg,SZ,52,21955,75,181,-0.701817463222808
Microtus agrestis (Campagnol agreste),1,698913,208231,1350,2014,Pièges à capturer vivant : PVIV,Milieux humides (Bas marais),Ruisseau (sans végétation),NA,Oberiberg,SZ,52,21955,75,181,-0.701817463222808
